DATE,GDPPOT
1949-01-01,2256.1
1949-04-01,2288.1
1949-07-01,2321.2
1949-10-01,2352.5
1950-01-01,2384.7
1950-04-01,2415.9
1950-07-01,2446.4
1950-10-01,2477.7
1951-01-01,2509.1
1951-04-01,2540.4
1951-07-01,2573.6
1951-10-01,2609.0
1952-01-01,2646.3
1952-04-01,2687.0
1952-07-01,2726.1
1952-10-01,2763.2
1953-01-01,2795.8
1953-04-01,2824.5
1953-07-01,2848.9
1953-10-01,2869.7
1954-01-01,2889.1
1954-04-01,2906.8
1954-07-01,2924.0
1954-10-01,2942.0
1955-01-01,2959.8
1955-04-01,2979.1
1955-07-01,2998.0
1955-10-01,3017.7
1956-01-01,3037.5
1956-04-01,3056.7
1956-07-01,3076.7
1956-10-01,3098.1
1957-01-01,3121.5
1957-04-01,3147.0
1957-07-01,3173.9
1957-10-01,3202.0
1958-01-01,3230.0
1958-04-01,3258.5
1958-07-01,3287.1
1958-10-01,3317.4
1959-01-01,3348.9
1959-04-01,3382.4
1959-07-01,3418.3
1959-10-01,3454.8
1960-01-01,3491.8
1960-04-01,3527.9
1960-07-01,3563.3
1960-10-01,3597.5
1961-01-01,3631.1
1961-04-01,3662.8
1961-07-01,3695.6
1961-10-01,3729.4
1962-01-01,3765.8
1962-04-01,3805.3
1962-07-01,3847.3
1962-10-01,3890.4
1963-01-01,3933.6
1963-04-01,3976.3
1963-07-01,4019.0
1963-10-01,4062.1
1964-01-01,4105.4
1964-04-01,4150.3
1964-07-01,4196.2
1964-10-01,4242.3
1965-01-01,4289.6
1965-04-01,4335.8
1965-07-01,4383.2
1965-10-01,4430.7
1966-01-01,4478.5
1966-04-01,4526.6
1966-07-01,4575.4
1966-10-01,4624.4
1967-01-01,4675.2
1967-04-01,4727.7
1967-07-01,4781.4
1967-10-01,4836.6
1968-01-01,4891.9
1968-04-01,4946.6
1968-07-01,5001.7
1968-10-01,5057.2
1969-01-01,5110.8
1969-04-01,5162.5
1969-07-01,5211.7
1969-10-01,5258.9
1970-01-01,5304.1
1970-04-01,5347.1
1970-07-01,5389.2
1970-10-01,5431.2
1971-01-01,5474.9
1971-04-01,5521.3
1971-07-01,5569.3
1971-10-01,5617.4
1972-01-01,5664.4
1972-04-01,5709.2
1972-07-01,5752.7
1972-10-01,5796.1
1973-01-01,5841.0
1973-04-01,5889.4
1973-07-01,5939.4
1973-10-01,5991.0
1974-01-01,6043.4
1974-04-01,6096.0
