"LotArea","Neighborhood","OverallQuality","OverallCondition","YearBuilt","YearRemodeled","BuildingType","CentralAir","LivingArea","Bathrooms","Bedrooms","Fireplaces","SalePrice","YearSold","MonthSold","HasGarage"
2951.2,"NAmes",6,5,1960,1960,"Single-family","Y",153.8,1,3,2,215.0,2010,5,1
1079.6,"NAmes",5,6,1961,1961,"Single-family","Y",83.2,1,2,0,105.0,2010,6,1
1325.3,"NAmes",6,6,1958,1958,"Single-family","Y",123.5,1,3,0,172.0,2010,6,1
1036.7,"NAmes",7,5,1968,1968,"Single-family","Y",196.0,2,3,2,244.0,2010,4,1
1284.7,"Gilbert",5,5,1997,1998,"Single-family","Y",151.3,2,3,1,189.9,2010,3,1
926.9,"Gilbert",6,6,1998,1998,"Single-family","Y",149.0,2,3,1,195.5,2010,6,1
457.0,"StoneBr",8,5,2001,2001,"Townhouse","Y",124.3,2,2,0,213.5,2010,4,1
464.9,"StoneBr",8,5,1992,1992,"Townhouse","Y",118.9,2,2,0,191.5,2010,1,1
500.6,"StoneBr",8,5,1995,1996,"Townhouse","Y",150.1,2,2,1,236.5,2010,3,1
696.7,"Gilbert",7,5,1999,1999,"Single-family","Y",167.6,2,3,1,189.0,2010,6,1
928.9,"Gilbert",6,5,1993,1994,"Single-family","Y",153.7,2,3,1,175.9,2010,4,1
741.3,"Gilbert",6,7,1992,2007,"Single-family","Y",110.3,2,3,0,185.0,2010,3,1
780.5,"Gilbert",6,5,1998,1998,"Single-family","Y",136.1,2,3,1,180.4,2010,5,1
945.3,"Gilbert",7,5,1990,1990,"Single-family","Y",124.6,1,2,1,171.5,2010,2,1
633.5,"StoneBr",8,5,1985,1985,"Townhouse","Y",139.5,1,1,0,212.0,2010,6,1
4970.2,"StoneBr",8,5,2003,2003,"Single-family","Y",304.6,3,4,1,538.0,2010,6,1
1127.2,"Gilbert",8,7,1988,2005,"Single-family","Y",162.8,2,4,0,164.0,2010,6,1
1058.4,"StoneBr",9,2,2010,2010,"Single-family","Y",172.4,1,1,1,394.4,2010,6,1
1777.8,"Gilbert",4,5,1951,1951,"Single-family","Y",80.3,1,2,0,141.0,2010,6,1
1223.9,"NWAmes",6,6,1978,1988,"Single-family","Y",192.6,2,3,2,210.0,2010,2,1
1091.6,"NWAmes",6,6,1977,1977,"Single-family","Y",171.3,2,3,1,190.0,2010,1,1
987.0,"NWAmes",7,6,1974,1974,"Single-family","Y",109.0,2,3,2,170.0,2010,1,1
696.7,"Somerst",7,5,2000,2000,"Single-family","Y",155.5,2,3,0,216.0,2010,1,1
1044.2,"NAmes",6,7,1970,1970,"Single-family","Y",93.3,1,2,1,149.0,2010,3,1
1164.6,"NAmes",5,6,1971,2008,"Single-family","Y",100.1,1,3,1,149.9,2010,4,1
785.0,"NAmes",5,6,1968,1968,"Single-family","Y",98.1,1,3,1,142.0,2010,7,1
780.3,"NAmes",4,5,1970,1970,"Single-family","Y",81.9,1,2,0,126.0,2010,4,1
975.4,"NAmes",4,5,1971,1971,"Single-family","Y",80.3,1,3,1,115.0,2010,4,0
544.2,"NAmes",7,5,1999,1999,"Townhouse","Y",124.2,2,2,1,184.0,2010,6,1
156.1,"BrDale",6,5,1971,1971,"","Y",91.7,1,2,0,96.0,2010,2,1
156.1,"BrDale",5,5,1971,1971,"","Y",101.4,1,3,0,105.5,2010,3,1
156.1,"BrDale",6,5,1971,1971,"","Y",101.4,1,3,0,88.0,2010,3,1
375.6,"NPkVill",6,5,1977,1977,"Townhouse","Y",99.3,2,2,1,127.5,2010,7,1
211.8,"NPkVill",6,6,1975,1975,"","Y",135.3,2,3,1,149.9,2010,6,1
211.8,"NPkVill",7,6,1975,1975,"","Y",77.7,1,2,0,120.0,2010,6,1
211.8,"NPkVill",6,5,1978,1978,"","Y",135.3,2,3,1,146.0,2010,7,1
1194.4,"NridgHt",9,5,2009,2010,"Single-family","Y",216.8,2,3,1,376.2,2010,1,1
1066.2,"NridgHt",8,5,2007,2008,"Single-family","Y",158.3,2,3,1,306.0,2010,5,1
943.7,"NridgHt",9,5,2009,2010,"Single-family","Y",180.2,2,3,1,395.2,2010,4,1
1196.8,"NridgHt",8,5,2009,2010,"Single-family","Y",143.4,2,3,0,290.9,2010,6,1
1131.6,"NridgHt",7,5,2005,2005,"Single-family","Y",143.1,2,3,1,220.0,2010,5,1
1070.1,"NridgHt",9,5,2005,2005,"Single-family","Y",157.7,2,3,1,275.0,2010,6,1
1311.8,"NridgHt",8,5,2005,2006,"Single-family","Y",169.3,2,3,1,259.0,2010,2,1
944.8,"NridgHt",7,5,2004,2004,"Single-family","Y",142.6,2,3,0,214.0,2010,3,1
1200.1,"NridgHt",9,5,2009,2010,"Single-family","Y",219.6,2,2,2,611.7,2010,3,1
591.8,"NridgHt",7,5,2009,2010,"Townhouse","Y",126.2,2,2,1,224.0,2010,6,1
1328.4,"NridgHt",9,5,2003,2004,"Single-family","Y",250.4,2,3,2,500.0,2010,6,1
1268.0,"NridgHt",8,5,2002,2002,"Single-family","Y",209.0,2,3,1,320.0,2010,6,1
711.4,"NridgHt",9,5,2005,2005,"Townhouse","Y",162.8,2,2,1,319.9,2010,2,1
662.5,"NridgHt",8,5,2006,2006,"Townhouse","Y",127.3,2,2,1,205.0,2010,4,1
244.1,"NridgHt",7,5,2003,2003,"","Y",151.0,2,2,0,175.5,2010,6,1
1718.0,"Gilbert",6,5,2005,2005,"Single-family","Y",123.0,2,3,0,199.5,2010,1,1
