Date,Open,Close
2010-06-29,1.2667,1.5927
2010-06-30,1.7193,1.5887
2010-07-01,1.6667,1.464
2010-07-02,1.5333,1.28
2010-07-06,1.3333,1.074
2010-07-07,1.0933,1.0533
2010-07-08,1.076,1.164
2010-07-09,1.172,1.16
2010-07-12,1.1967,1.1367
2010-07-13,1.1593,1.2093
2010-07-14,1.196,1.3227
2010-07-15,1.3293,1.326
2010-07-16,1.38,1.376
2010-07-19,1.4247,1.4607
2010-07-20,1.4567,1.3533
2010-07-21,1.3773,1.348
2010-07-22,1.3667,1.4
2010-07-23,1.4127,1.4193
2010-07-26,1.4333,1.3967
2010-07-27,1.394,1.37
2010-07-28,1.37,1.3813
2010-07-29,1.3847,1.3567
2010-07-30,1.3467,1.3293
2010-08-02,1.3667,1.3947
2010-08-03,1.4,1.4633
2010-08-04,1.4633,1.4173
2010-08-05,1.436,1.3633
2010-08-06,1.34,1.306
2010-08-09,1.3267,1.3067
2010-08-10,1.31,1.2687
2010-08-11,1.246,1.1933
2010-08-12,1.1867,1.1733
2010-08-13,1.212,1.2213
2010-08-16,1.23,1.252
2010-08-17,1.264,1.2767
2010-08-18,1.306,1.2513
2010-08-19,1.236,1.2527
2010-08-20,1.2433,1.2733
2010-08-23,1.2727,1.342
2010-08-24,1.2833,1.28
2010-08-25,1.2773,1.3267
2010-08-26,1.326,1.3167
2010-08-27,1.3167,1.3133
2010-08-30,1.3133,1.3247
2010-08-31,1.3107,1.2987
2010-09-01,1.308,1.3633
2010-09-02,1.358,1.404
2010-09-03,1.3913,1.4033
2010-09-07,1.374,1.3693
2010-09-08,1.3773,1.3933
2010-09-09,1.4,1.3807
2010-09-10,1.3833,1.3447
2010-09-13,1.3927,1.3813
2010-09-14,1.3693,1.408
2010-09-15,1.3987,1.4653
2010-09-16,1.4767,1.396
2010-09-17,1.4013,1.3487
2010-09-20,1.378,1.404
2010-09-21,1.3927,1.3847
2010-09-22,1.3913,1.3247
2010-09-23,1.326,1.304
2010-09-24,1.33,1.34
2010-09-27,1.36,1.3687
2010-09-28,1.4027,1.4267
2010-09-29,1.4127,1.4653
2010-09-30,1.4667,1.3607
2010-10-01,1.3793,1.3733
2010-10-04,1.362,1.3993
2010-10-05,1.41,1.408
2010-10-06,1.404,1.364
2010-10-07,1.3713,1.362
2010-10-08,1.362,1.362
2010-10-11,1.3627,1.3493
